Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
05월 19일, KT,9회초,이상동,2 박해민,2 (0-1),좌익수 플라이 아웃,1사 1루 4:10,2사 1루 4:10,0.06,0.553,-0.314,100.00%,-0.002
05월 21일, 한화,6회초,김범수,2 박해민,6 (3-2),중견수 플라이 아웃,2사 2루 0:8,이닝종료 0:8,0.06,0.4,-0.4,99.70%,-0.002
05월 23일, 한화,9회초,한승혁,3 박해민,4 (0-2),헛스윙 삼진,무사 1루 8:4,2사 8:4,0.09,0.982,-0.433,1.40%,-0.002
04월 30일, NC,6회초,이재학,2 박해민,5 (1-2),낫아웃 삼진,1사 0:7,2사 0:7,0.09,0.281,-0.17,99.20%,-0.002
05월 18일, KT,6회초,박시영,2 박해민,2 (1-0),우익수 플라이 아웃,1사 1루 7:1,2사 1루 7:1,0.12,0.549,-0.31,2.80%,-0.003
05월 19일, KT,7회초,김민,2 박해민,6 (3-2),루킹 삼진,1사 3:9,2사 3:9,0.12,0.293,-0.175,99.20%,-0.003
04월 09일, KIA,8회초,곽도규,2 박해민,4 (1-2),선행주자아웃 출루,무사 1루 0:7,1사 2루 0:7,0.15,0.975,-0.193,99.60%,-0.003
05월 26일, NC,7회말,김영규,2 박해민,6 (2-2),1루수 땅볼 아웃,2사 3:6,이닝종료 3:6,0.11,0.118,-0.118,93.10%,-0.003
05월 28일, SSG,3회초,한두솔,2 박해민,5 (2-2),좌익수 플라이 아웃,2사 1루 7:0,이닝종료 7:0,0.1,0.242,-0.242,4.30%,-0.003
05월 28일, SSG,8회초,박시후,2 박해민,5 (2-2),좌익수 플라이 아웃,"1사 1,2루 7:2","2사 1,2루 7:2",0.13,0.991,-0.481,1.70%,-0.003
04월 19일, SSG,8회초,이로운,7 박해민,4 (2-1),유격수 직선타 아웃,2사 4:1,이닝종료 4:1,0.14,0.106,-0.106,8.40%,-0.004
05월 30일, SSG,8회초,조병현,2 박해민,4 (1-2),1루수 땅볼 아웃,1사 1루 2:8,2사 2루 2:8,0.15,0.556,-0.163,99.60%,-0.004
04월 14일, 두산,9회초,김택연,8 박해민,4 (2-1),3루수 파울플라이 아웃,2사 1루 5:9,이닝종료 5:9,0.13,0.242,-0.242,100.00%,-0.004
05월 18일, KT,4회초,한차현,2 박해민,3 (1-1),중견수 플라이 아웃,1사 5:0,2사 5:0,0.16,0.292,-0.175,8.60%,-0.004
04월 03일, NC,6회말,이준호,1 박해민,3 (2-0),유격수 플라이 아웃,2사 1루 0:4,이닝종료 0:4,0.16,0.221,-0.221,94.30%,-0.005
05월 28일, SSG,6회초,이기순,2 박해민,2 (0-1),좌익수 플라이 아웃,1사 1루 7:2,2사 1루 7:2,0.2,0.551,-0.309,5.00%,-0.005
04월 16일, 롯데,4회말,윌커슨,8 박해민,3 (0-2),헛스윙 삼진,2사 0:3,이닝종료 0:3,0.2,0.107,-0.107,84.00%,-0.005
05월 18일, KT,9회초,김민수,2 박해민,3 (0-2),중견수 플라이 아웃,1사 7:5,2사 7:5,0.23,0.292,-0.175,8.70%,-0.006
05월 02일, NC,5회초,하트,1 박해민,11 (3-2),좌익수 플라이 아웃,1사 4:0,2사 4:0,0.23,0.283,-0.171,11.40%,-0.006
05월 10일, 롯데,6회초,최이준,1 박해민,5 (1-2),좌익수 플라이 아웃,2사 2루 6:1,이닝종료 6:1,0.22,0.391,-0.391,5.40%,-0.006
